gsm,canon__treatment,instrument_model,library_selection,library_source,library_strategy,molecule,organism,platform_id,raw__cell line,raw__cell type,raw__genotype,raw__time,raw__treatment,sample_type,source_name,sra_relation,supplementary_files,title
GSM9845425,Control,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,Control,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096018,,"EA.hy926 cells, PFOA Control, 6 weeks, biological replicate 1"
GSM9845426,Control,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,Control,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096019,,"EA.hy926 cells, PFOA Control, 6 weeks, biological replicate 2"
GSM9845427,Control,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,Control,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096020,,"EA.hy926 cells, PFOA Control, 6 weeks, biological replicate 3"
GSM9845428,1 nM PFOA,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,1 nM PFOA,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096021,,"EA.hy926 cells, PFOA 1nM, 6 weeks, biological replicate 1"
GSM9845429,1 nM PFOA,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,1 nM PFOA,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096022,,"EA.hy926 cells, PFOA 1nM, 6 weeks, biological replicate 2"
GSM9845430,1 nM PFOA,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,1 nM PFOA,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096023,,"EA.hy926 cells, PFOA 1nM, 6 weeks, biological replicate 3"
GSM9845431,10 nM PFOA,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,10 nM PFOA,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096024,,"EA.hy926 cells, PFOA 10nM, 6 weeks, biological replicate 1"
GSM9845432,10 nM PFOA,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,10 nM PFOA,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096025,,"EA.hy926 cells, PFOA 10nM, 6 weeks, biological replicate 2"
GSM9845433,10 nM PFOA,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,10 nM PFOA,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096026,,"EA.hy926 cells, PFOA 10nM, 6 weeks, biological replicate 3"
GSM9845434,100 nM PFOA,DNBSEQ-G400,cDNA,transcriptomic,RNA-Seq,total RNA,Homo sapiens,GPL28038,EA.hy926,endothelial cells,WT,6 weeks,100 nM PFOA,SRA,EA.hy926,https://www.ncbi.nlm.nih.gov/sra?term=SRX34096027,,"EA.hy926 cells, PFOA 100nM, 6 weeks, biological replicate 1"
